Ragione_Sociale,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,classificazione_servizi_finanziari,classificazione_servizi_non_finanziari,classificazione_software_informatica,classificazione_software_rd,Macro_Area_Nord,Macro_Area_Sud_Isole,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
"Grassi, Liverotti e Traetta Group",0.0,0.0045155271660473366,0.5939275309235982,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Napolitano SPA,0.061224489795918366,0.06127160077356227,0.5614873389017487,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Castioni-Rossetti s.r.l.,0.02040816326530612,0.016551565935407818,0.5830099520913161,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ariosto-Buonauro s.r.l.,0.0,0.009902948744955904,0.5952414718079524,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Florio-Castiglione SPA,0.0,0.012465295824452733,0.5909621438657753,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Oliboni Group,0.22448979591836735,0.21003654347394926,0.4612821405450595,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Montanariello e figli,0.6122448979591836,0.29103947664000573,0.5794842068538756,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
"Doglioni, Sorrentino e Sandi Group",0.0,0.004678988920647519,0.5861036161601411,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Telesio-Monduzzi Group,0.0,0.006987284595440899,0.6002627085361472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Curatoli e figli,0.0,0.003176617520840935,0.5913732462564512,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Gravina, Farnese e Pasqua e figli",0.0,0.0037182054973648746,0.5992506664807038,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Modiano SPA,0.02040816326530612,0.009361580995153353,0.5950837075670254,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Argenti, Fattori e Pedersoli s.r.l.",0.0,0.004281886496230577,0.5931786712162017,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Bajamonti, Finetti e Viola s.r.l.",0.0,0.0014818245525712584,0.5923287282765118,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cammarata e figli,0.08163265306122448,0.05069486378645413,0.6143803322898297,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sgalambro, Orlando e Morgagni Group",0.061224489795918366,0.04904546810983562,0.6008893499761946,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Palladio-Sabbatini Group,0.08163265306122448,0.05542208082973404,0.6139184060120882,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Bondumier-Cabrini e figli,0.02040816326530612,0.018941945003190738,0.5871556902805527,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Capone, Guglielmi e Gangemi SPA",0.8775510204081631,0.6745791053664442,0.1846064915304988,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Pergolesi-Pellegrini Group,0.08163265306122448,0.054507020450127945,0.5824774631243916,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Torricelli-Marangoni s.r.l.,0.02040816326530612,0.009415420311124505,0.5912344042481974,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bassi-Grifeo s.r.l.,0.04081632653061225,0.038139432529511,0.5828405240127744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Bruno SPA,0.061224489795918366,0.059314988820603425,0.6054369562646161,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Cannizzaro, Barcaccia e Vezzali Group",0.08163265306122448,0.09266691571250153,0.600483464556967,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lollobrigida-Tomei SPA,0.04081632653061225,0.044880619881206466,0.5810905955319083,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tomaselli s.r.l.,0.061224489795918366,0.029469228856528754,0.5778027996385823,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Barsanti Group,0.10204081632653061,0.06349383368085876,0.6114415190228042,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
"Pausini, Morricone e Adinolfi e figli",0.061224489795918366,0.05247027196957074,0.5835017587620484,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Alfonsi, Mimun e Anichini SPA",0.0,0.012322298332067352,0.5864380416719077,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Errani e figli,0.08163265306122448,0.08736614570169914,0.6202365415179062,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Andreotti SPA,0.08163265306122448,0.06633225024914144,0.6028174518935375,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Metella, Desio e Seddio s.r.l.",0.0,0.004999302569501697,0.5914389095289696,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Cheda, Giolitti e Galiazzo Group",0.08163265306122448,0.06697453995272584,0.5773298799166584,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Magnani, Gabba e Marenzio Group",0.061224489795918366,0.039158946137202354,0.5798395556975086,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zaguri Group,0.0,0.009230325869204359,0.5897201719846464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romano s.r.l.,0.04081632653061225,0.021151949210041095,0.6083333381638624,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
"Combi, Fo e Cusano SPA",0.04081632653061225,0.04066624358054784,0.5803029840597831,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Caironi, Salvini e Altera Group",0.08163265306122448,0.05753918606461098,0.565816286039034,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Gregori, Mercadante e Beccheria SPA",0.28571428571428564,0.14449009581247976,0.5187621321364104,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Martucci-Gianinazzi s.r.l.,0.02040816326530612,0.031121005734572302,0.5755709389285948,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Parisi-Fagiani Group,0.10204081632653061,0.08679498769977176,0.6122648680094881,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Samele SPA,0.08163265306122448,0.08565528994693802,0.5369615143512205,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Toscanini, Moccia e Sommaruga SPA",0.10204081632653061,0.05587023914906011,0.5929194104177071,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Donarelli, Ughi e Cagnotto SPA",1.0,0.5370189724984021,0.39619338511710944,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
"Segni, Bettin e Accardo s.r.l.",0.061224489795918366,0.05508942836707304,0.5816205642227709,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Cuzzocrea-Bottaro Group,0.7755102040816325,0.4651791715818901,0.690575551159802,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Tozzo, Maggioli e Grimani Group",0.0,0.007055834750530519,0.598051806441891,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vidoni-Udinesi SPA,0.04081632653061225,0.04948180147770479,0.5761891324032825,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Barillaro SPA,0.08163265306122448,0.08582076432907536,0.6299290242375704,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Marzorati-Michelangeli e figli,0.04081632653061225,0.031973974413564,0.6118397982488768,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Sauro, Montesano e Agostini e figli",0.22448979591836735,0.13168688043627944,0.6580551337103481,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Taccola-Bignami SPA,0.9795918367346937,0.8412529982224064,0.9631316426128578,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Pirelli, Buonauro e Fagotto e figli",0.061224489795918366,0.034413358514913096,0.608203745568756,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Dossi, Toselli e Bataglia Group",0.04081632653061225,0.04020898102738537,0.6037476454635925,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Valier, Malpighi e Valier SPA",0.04081632653061225,0.02724351361420028,0.5723821445195348,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Mennea-Gargallo s.r.l.,0.16326530612244897,0.1564040632160437,0.613425460176576,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Marino e figli,0.7142857142857142,0.37435877587258326,0.5654929396608358,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Antonini, Mozart e Berengario s.r.l.",0.0,0.005048121022095582,0.5885200467672507,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Branciforte, Sagnelli e Missoni s.r.l.",0.04081632653061225,0.023970771717528903,0.5978430166918135,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Gatto e figli,0.04081632653061225,0.023904630292204496,0.5983696737399306,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Onio, Bellò e Mondaini SPA",0.04081632653061225,0.0329415145150071,0.5678313324399625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Scalfaro-Gaggini e figli,0.28571428571428564,0.2059691593337057,0.4838127331050584,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Bernetti, Roth e Antonacci SPA",0.0,0.008042488696167673,0.5873570099323827,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Bembo-Corcos Group,0.0,0.0024499855710204974,0.5901809742192644,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Semitecolo-Ferragni SPA,0.4081632653061224,0.18373999405626434,0.5136168726232063,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Satta s.r.l.,0.44897959183673464,0.20228639657431466,0.4728989498085257,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Bersani SPA,0.02040816326530612,0.016755225184070775,0.6041856694431623,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Spinola-Parisi SPA,0.08163265306122448,0.05816691327624341,0.5560358910497762,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Riccati, Dandolo e Doglioni e figli",0.02040816326530612,0.018571895290403546,0.5906759211539698,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Murri-Manunta SPA,0.0,0.005410701378582266,0.5859965800357894,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Berrè s.r.l.,0.22448979591836735,0.15083403392194403,0.6218327432400965,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
"Montanelli, Marzorati e Scalera SPA",0.08163265306122448,0.04559459644130808,0.5911860250289119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vianello e figli,0.0,0.008722184825991665,0.5928003374548835,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sismondi-Cantimori Group,0.04081632653061225,0.025644997956984234,0.6032458988240719,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Mortati, Soranzo e Lettiere Group",0.24489795918367344,0.20539697819513517,0.66854159411947,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Falcone-Bataglia e figli,0.24489795918367344,0.1971845937595278,0.6706797207221609,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Zito-Panicucci e figli,0.061224489795918366,0.0316003888384167,0.6088869873686031,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Desio SPA,0.0,0.0014774995444594976,0.598580736779016,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Cianciolo, Storladi e Faugno Group",0.02040816326530612,0.026297759135300334,0.5749274973283183,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Castioni Group,0.22448979591836735,0.21228690575684672,0.6006698994583749,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Giammusso SPA,0.08163265306122448,0.09167040356237768,0.6040425832900201,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Franceschi-Baglioni SPA,0.2040816326530612,0.17334762201006174,0.602202116411904,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Fusani, Scandone e Vigliotti Group",0.04081632653061225,0.04950505986644724,0.5701960066578636,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Vendetti Group,0.08163265306122448,0.07256874371755485,0.6038716833702582,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Binaghi Group,0.02040816326530612,0.02113970215736819,0.6067212385402732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Foa e figli,0.02040816326530612,0.017820836526735495,0.5813580925925733,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rosiello-Zola Group,0.0,0.012460677180712448,0.590272797957306,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Boezio SPA,0.061224489795918366,0.027499542471339556,0.5838356751780505,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Farnese e figli,0.5306122448979591,0.4454274911579507,0.7233243509854392,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
"Ciani, Solari e Polizzi SPA",0.08163265306122448,0.04782436599640328,0.6107593155766946,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Soranzo, Ceri e Mancini SPA",0.08163265306122448,0.07304445484669052,0.5858221315673321,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Surian-Baggio e figli,0.4693877551020408,0.4092480886836369,0.5633296607030466,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Schicchi e figli,0.04081632653061225,0.040355751431726795,0.5728248662936842,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Praga SPA,0.04081632653061225,0.05077220007011591,0.5944474537940777,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Cuomo-Schiaparelli Group,0.5918367346938774,0.3635580927794562,0.4736525425943665,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
"Rossi, Desio e Parri s.r.l.",0.18367346938775508,0.15938520505201448,0.5452743777923555,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Pisacane, Bossi e Conte SPA",0.02040816326530612,0.03270323531987104,0.6136857542882559,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ortese Group,0.24489795918367344,0.13658083969469692,0.5374867045986695,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Ortolani-Ceravolo SPA,0.693877551020408,0.6776382762826377,0.9203694986815553,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
"Schiaparelli, Anichini e Contarini SPA",0.061224489795918366,0.05516140427116207,0.5600930768192997,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Farinelli, Mascheroni e Pasolini s.r.l.",0.08163265306122448,0.05870167116569978,0.6134572408577174,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Carpaccio-Zanichelli Group,0.9387755102040816,0.7069718990061179,0.9010859592320647,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Russo, Paolini e Bevilacqua SPA",0.08163265306122448,0.08730295898488671,0.5717655993053916,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Luzi, Gori e Giannotti SPA",0.08163265306122448,0.05831583089111841,0.6058267824847768,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Antonini SPA,0.061224489795918366,0.0696931271855839,0.6276390510021461,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Morgagni-Ciani e figli,0.16326530612244897,0.13285522754447304,0.5128020169668512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pirandello-Costanzi SPA,0.061224489795918366,0.06064239009026492,0.579433141020308,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Taccola, Carriera e Calvo e figli",0.061224489795918366,0.04071498709488236,0.579028137697702,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Taliercio Group,0.02040816326530612,0.020237254345618433,0.5776657621479888,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Mascheroni, Pedersoli e Ruggeri e figli",0.061224489795918366,0.03808820840585636,0.6154016640828376,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Bosurgi, Bajardi e Manunta e figli",0.28571428571428564,0.20406025552362037,0.6205693943774102,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Viviani, Forza e Marcacci e figli",0.9387755102040816,0.7987533671862792,0.6129113541032475,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Cianciolo e figli,0.12244897959183673,0.06770461447442024,0.6221000588408852,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Samele-Malatesta e figli,0.0,0.0034514100005131583,0.5936252086883089,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mezzetta e figli,0.0,0.01195232814559622,0.5944894063094052,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pisaroni SPA,0.0,0.01244753545698389,0.5836359433001396,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Marsili SPA,0.08163265306122448,0.09240676066304064,0.5370852800680715,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Antonello s.r.l.,0.02040816326530612,0.022437172474499528,0.6046105980683142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dibiasi SPA,0.2040816326530612,0.11130809677641823,0.5594585267529697,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
"Niscoromni, Sagese e Stoppani e figli",0.12244897959183673,0.10403373288547417,0.5973823707143114,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Monteverdi, Versace e Busoni SPA",0.08163265306122448,0.06402061293972139,0.6070363637779572,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Coppola s.r.l.,0.08163265306122448,0.07393484677479635,0.5473926698224386,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Fantozzi s.r.l.,0.08163265306122448,0.09114441039056223,0.6128731820020129,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
"Rinaldi, Niscoromni e Cutrufo Group",0.38775510204081626,0.18758060125950785,0.5446802176701947,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Monaco-Sokolov e figli,0.02040816326530612,0.015232528693102484,0.6037369796552983,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Venier SPA,0.02040816326530612,0.02025191165740878,0.5804574669012774,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Malacarne, Corcos e Tutino e figli",0.0,0.010011714746335078,0.5880519004481881,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Basadonna, Zecchini e Saffi Group",0.061224489795918366,0.05583951140401714,0.6039597922213846,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Casaleggio s.r.l.,0.061224489795918366,0.038729939895876135,0.577483924230118,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Prodi, Broggini e Trentin SPA",0.16326530612244897,0.14723013221038997,0.4998791199992398,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Calgari-Zoppetti Group,0.4081632653061224,0.40703295350004853,0.7071496174233538,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Parini s.r.l.,0.08163265306122448,0.06695276197694384,0.5810839420031048,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Dossetti e figli,0.0,0.0028796677860332123,0.5980823421066578,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Morandini, Guinizzelli e Leoncavallo SPA",0.061224489795918366,0.03154455830583964,0.6047895175065053,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Maderno, Luxardo e Galeati SPA",0.061224489795918366,0.02607832920642222,0.5807596732038678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Bembo SPA,0.26530612244897955,0.2737458904126203,0.5344596111017454,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Jovinelli, Carducci e Antonetti e figli",0.08163265306122448,0.056526277729209116,0.6051751651089553,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Benigni, Ferrucci e Semitecolo e figli",0.0,0.010729750207260112,0.5915988916128312,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Berengario-Salvini s.r.l.,0.26530612244897955,0.1883002547750942,0.6722746875090808,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Benigni Group,0.04081632653061225,0.028689514620091953,0.600491600008095,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sobrero-Pacomio Group,0.02040816326530612,0.023658817507974193,0.5887496237542873,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Aloisio, Gioberti e Zampa SPA",0.061224489795918366,0.03377432786093483,0.575161797312695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Mazzeo s.r.l.,0.0,0.004435252996748111,0.597160611623619,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Sokolov, Cicilia e Ziani SPA",0.673469387755102,0.5755187479420846,0.34594823912469996,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Mezzetta s.r.l.,0.10204081632653061,0.07869997951860906,0.5880444454715968,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Trobbiani s.r.l.,0.08163265306122448,0.07474204347084006,0.5477572579981149,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Lippomano, Miniati e Carnera Group",0.24489795918367344,0.11740826072817728,0.6442172605995439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sraffa e figli,0.061224489795918366,0.03937168209136153,0.5770505930045755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tonisto-Pavarotti s.r.l.,0.08163265306122448,0.04007280138724972,0.6034728345617956,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Porzio-Moschino s.r.l.,0.061224489795918366,0.03166789903398864,0.6101283392618206,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
"Montessori, Dibiasi e Siffredi e figli",0.14285714285714285,0.14598427447238016,0.5389614794201942,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Castioni-Brunello e figli,0.02040816326530612,0.013318957300005471,0.5984182797840616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
"Venier, Pignatti e Piovani SPA",0.2040816326530612,0.09838029424999992,0.615680482223573,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Asprucci, Magnani e Manunta s.r.l.",0.10204081632653061,0.07026661592031266,0.6029766375701634,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fieramosca SPA,0.02040816326530612,0.009293949980755091,0.5979329905472257,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Disdero-Bongiorno s.r.l.,0.08163265306122448,0.07828861435527758,0.6145517211431477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cafarchia-Saracino e figli,0.7755102040816325,0.7661076951550639,0.7246754659417075,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Folliero Group,0.08163265306122448,0.08305104932175326,0.5377511672469559,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polani e figli,0.02040816326530612,0.03006180084840693,0.5976797481679671,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Traetta-Monti SPA,0.14285714285714285,0.07159482621730483,0.553708174160048,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Zacco Group,0.346938775510204,0.1937808551974346,0.5521575339885059,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
"Fabrizi, Mastroianni e Basso SPA",0.02040816326530612,0.013422257396507903,0.5844108475403604,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Gabrieli SPA,0.04081632653061225,0.03877148780795966,0.6055849065505577,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Tiepolo, Gelli e Verdone s.r.l.",0.02040816326530612,0.01590288506884638,0.6020169214863186,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Novaro, Letta e Aporti SPA",0.061224489795918366,0.05995168568307583,0.5876926250144505,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bodoni e figli,0.0,0.01020381973888617,0.5871878288408949,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Antonelli s.r.l.,0.8979591836734693,0.8791583526873624,0.5588677589223884,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Antelami SPA,0.04081632653061225,0.021003309937272306,0.6083404655045656,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Catalano s.r.l.,0.6530612244897959,0.33441030470437655,0.5293166248775492,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Cuda-Bertoni e figli,0.04081632653061225,0.02653545411788381,0.591111399654717,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
