Ragione_Sociale,id,cciaa,nat_giuridica,anno_iscrizione_sezione_startup,anno_iscrizione_registro_imprese,anno_inizio_attivit,ateco_2007,settore,attivita,regione,sezione_attivita,classe_addetti,classe_valore_produzione,alto_valore_tecnologico,classe_capitale_sociale,spese_ricerca_sviluppo,prevalenza_femminile,prevalenza_giovanile,prevalenza_straniera,stato_impresa_label,classificazione,provincia,Macro_Area,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
Malpighi-Papetti Group,5876,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,8.0,865185.78,-15487.63,0,0,0,0
Armani-Contrafatto s.r.l.,5877,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,1.0,92067.93,-2211.83,1,1,1,0
Stein-Mazzanti s.r.l.,5885,MT,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,291,INDUSTRIA/ARTIGIANATO,"C 29 FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",BASILICATA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,industria,MT,Sud_Isole,3.0,246247.79,28108.93,1,0,1,0
Monicelli s.r.l.,5886,MT,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,BASILICATA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,MT,Sud_Isole,18.0,1995797.23,-71396.25,1,1,0,0
Mimun-Barracco e figli,5887,BA,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PUGLIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,500.001 - 1.000.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,BA,Sud_Isole,1.0,85428.59,12368.07,0,1,1,0
Vendetti-Omma e figli,5888,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,631119,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,CS,Sud_Isole,1.0,116351.4,-22060.67,1,1,1,0
Proietti-Soprano e figli,5890,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,1107,INDUSTRIA/ARTIGIANATO,C 11 INDUSTRIA DELLE BEVANDE,CALABRIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,Esclusiva,NO,Attive,industria,CS,Sud_Isole,4.0,426608.28,-68427.95,0,0,0,0
Cipolla-Giulietti e figli,5891,CS,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2017,2016,2016.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,7.0,384006.37,-25976.21,0,0,1,0
"Canil, Poerio e Duodo s.r.l.",5892,CS,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2016,2016,2016.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,5.0,320613.82,-60808.09,0,0,1,0
"Bossi, Mazzanti e Scaduto Group",5893,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,3.0,232650.96,15431.14,0,1,1,0
Cadorna s.r.l.,5894,BZ,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,20594,INDUSTRIA/ARTIGIANATO,C 20 FABBRICAZIONE DI PRODOTTI CHIMICI,TRENTINO-ALTO ADIGE,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,industria,BZ,Nord,5.0,302984.68,39963.2,0,0,1,0
"Florio, Roero e Vismara s.r.l.",5895,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,412,INDUSTRIA/ARTIGIANATO,F 41 COSTRUZIONE DI EDIFICI,LOMBARDIA,F COSTRUZIONI,Non Disponibile,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,industria,MI,Nord,5.0,445190.84,3652.03,0,0,1,0
Comboni-Sobrero Group,5896,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,Forte,NO,Attive,software_informatica,CS,Sud_Isole,3.0,291431.7,-40377.59,0,1,1,0
Castiglione-Cutrufo SPA,5897,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,63112,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 100 a 250mila euro,,NO,NO,NO,Attive,software_informatica,RM,Centro,2.0,157477.49,6503.89,0,0,0,0
Vezzali-Pinamonte s.r.l.,5898,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2022,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,,NO,Attive,software_informatica,RM,Centro,12.0,1125223.48,-203401.14,1,1,1,0
Spinelli s.r.l.,5900,VA,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,Forte,NO,Attive,software_informatica,VA,Nord,3.0,220757.98,-20807.47,1,0,1,0
Ostinelli-Miniati s.r.l.,5901,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2016,2017.0,2812,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,CALABRIA,C ATTIVITA' MANIFATTURIERE,0-4,0-100.000 euro,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,CS,Sud_Isole,2.0,122675.31,-24242.11,1,1,1,0
Vittadello e figli,5902,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,CALABRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,SI,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_rd,CS,Sud_Isole,3.0,155407.26,-3403.36,0,0,0,0
Accardo-Greggio e figli,5903,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 10 a 50mila euro,SI,NO,Esclusiva,NO,Attive,software_rd,RM,Centro,34.0,3286987.5,422478.27,1,1,1,0
Totino-Pratesi SPA,5905,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,1.0,51868.74,-4555.09,0,0,0,0
Spinelli-Viola e figli,5906,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,in Scioglimento o Liquidazione,software_informatica,CS,Sud_Isole,47.0,4811298.92,-872887.63,1,0,1,1
"Trillini, Bartoli e Lippomano e figli",5907,RC,SOCIETA' A RESPONSABILITA' LIMITATA,2014,2014,2014.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,RC,Sud_Isole,4.0,461688.94,-3390.5,0,0,1,0
Lancisi-Borghese SPA,5908,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,2711,INDUSTRIA/ARTIGIANATO,C 27 FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATU,CALABRIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,SI,Da 5 a 10mila euro,,Esclusiva,Forte,NO,Attive,industria,CS,Sud_Isole,3.0,184394.29,-11349.31,1,0,0,0
"Mondaini, Chigi e Pederiva e figli",5909,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,28309,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,CALABRIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,industria,CS,Sud_Isole,3.0,210400.28,-40341.2,0,0,0,0
Smirnoff-Desio SPA,5910,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,100.001 - 500.000 euro,NO,Da 1 fino a 5mila euro,SI,,NO,NO,Attive,software_informatica,CS,Sud_Isole,1.0,107558.77,-21115.77,1,0,0,0
Ferretti-Rizzoli SPA,5911,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,221901,INDUSTRIA/ARTIGIANATO,C 22 FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE,CALABRIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,industria,CS,Sud_Isole,14.0,877367.88,-102510.03,1,1,0,0
Santorio s.r.l.,5912,CS,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2020,2021.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,10.0,935288.46,-178528.43,0,1,1,0
"Bonatti, Aporti e Quasimodo SPA",5913,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,CALABRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,SI,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_rd,CS,Sud_Isole,5.0,342871.57,-29442.59,0,0,1,0
Mantegazza-Grifeo SPA,5920,PG,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",UMBRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,PG,Centro,2.0,155512.59,6630.48,0,0,0,0
"Vidoni, Leonetti e Belletini s.r.l.",5921,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2022,2021,2022.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,1.0,86032.41,-13673.61,0,0,1,0
Vergassola-Fornaciari Group,5922,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,5.0,491844.51,-97034.77,0,0,0,0
"Casalodi, Scaduto e Turchetta Group",5923,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,1414,INDUSTRIA/ARTIGIANATO,C 14 CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTIC,LOMBARDIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,in Scioglimento o Liquidazione,industria,MI,Nord,4.0,463148.36,-16866.66,1,0,0,0
"Zamorani, Modiano e Rienzo Group",5924,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2018,2018.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,MI,Nord,1.0,112976.7,13625.93,0,0,0,0
Pedrazzini SPA,5925,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Maggioritaria,NO,Attive,software_informatica,MI,Nord,4.0,497467.99,4225.17,0,0,0,0
"Polizzi, Baggio e Tozzo Group",5926,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,MI,Nord,1.0,68491.3,-13186.7,0,0,0,0
"Casini, Benussi e Botta s.r.l.",5927,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,MI,Nord,1.0,129746.16,-18093.87,0,0,0,0
Carnera-Pozzecco Group,5928,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,71122,SERVIZI,M 71 ATTIVITA' DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAU,CALABRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,,Esclusiva,NO,NO,Attive,servizi_non_finanziari,CS,Sud_Isole,3.0,239530.44,22862.46,0,0,0,0
"Mengolo, Stefanelli e Grasso Group",5929,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,4.0,232272.98,-33306.26,0,1,1,0
Parpinel SPA,5931,FI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,266002,INDUSTRIA/ARTIGIANATO,C 26 FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA,TOSCANA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,FI,Centro,1.0,57802.57,57.55,0,0,0,0
Giradello-Malipiero e figli,5932,CS,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,5.0,530730.35,33620.49,1,0,1,0
"Schicchi, Donarelli e Toninelli s.r.l.",5933,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,12.0,611100.88,-79786.92,1,0,0,0
"Savorgnan, Gualtieri e Peranda SPA",5934,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,71122,SERVIZI,M 71 ATTIVITA' DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAU,CALABRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,,Forte,NO,NO,Attive,servizi_non_finanziari,CS,Sud_Isole,5.0,393616.67,-1368.22,0,0,1,0
Roncalli e figli,5935,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Forte,Forte,Attive,software_informatica,MI,Nord,1.0,79984.54,4137.86,0,0,0,0
Infantino Group,5936,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,8.0,856599.13,-3968.96,0,0,1,1
"Saracino, Parpinel e Rismondo e figli",5937,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,261109,INDUSTRIA/ARTIGIANATO,C 26 FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA,CALABRIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,CS,Sud_Isole,2.0,173493.37,17915.97,0,0,0,0
Tutino-Galvani Group,5938,VV,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,VV,Sud_Isole,46.0,3740820.78,487263.3,1,0,1,0
Gangemi-Accardo SPA,5939,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2020,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,Maggioritaria,NO,Attive,software_informatica,CS,Sud_Isole,8.0,532113.24,-11019.22,1,1,0,1
Badoglio s.r.l.,5941,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2018,2018.0,432902,INDUSTRIA/ARTIGIANATO,F 43 LAVORI DI COSTRUZIONE SPECIALIZZATI,CALABRIA,F COSTRUZIONI,Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,in Scioglimento o Liquidazione,industria,CS,Sud_Isole,8.0,856836.1,79874.05,0,0,0,0
"Bandello, Cuda e Opizzi Group",5942,CS,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2021,2021.0,71121,SERVIZI,M 71 ATTIVITA' DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAU,CALABRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,CS,Sud_Isole,2.0,218074.1,10328.49,0,1,0,0
Zacco-Chiaramonte s.r.l.,5943,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,722,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_rd,MI,Nord,11.0,1234289.93,19087.04,1,1,1,1
Doglioni-Pisacane Group,5944,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,712021,SERVIZI,M 71 ATTIVITA' DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAU,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,MI,Nord,4.0,257558.66,-39977.75,0,0,0,0
"Turati, Verga e Franscini SPA",5945,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,631119,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,4.0,287932.9,-13995.68,0,0,1,0
Sagredo-Ferrazzi e figli,5946,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,32999,INDUSTRIA/ARTIGIANATO,C 32 ALTRE INDUSTRIE MANIFATTURIERE,LAZIO,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,industria,RM,Centro,11.0,783545.74,10487.07,1,0,0,0
Petralli-Malacarne SPA,5947,CS,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,CS,Sud_Isole,3.0,334853.89,15089.25,0,0,0,0
Boldù SPA,5948,CS,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2021,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,CALABRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 1 fino a 5mila euro,,NO,Esclusiva,NO,Attive,software_rd,CS,Sud_Isole,3.0,353638.81,-14313.31,0,0,0,0
"Soderini, Respighi e Morlacchi Group",5949,CE,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2021,2017.0,5819,SERVIZI,J 58 ATTIVITA' EDITORIALI,CAMPANIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 250 a 500mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,CE,Sud_Isole,1.0,64708.26,-8540.48,0,0,0,0
Lupo-Pirandello s.r.l.,5950,TO,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,731102,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,TO,Nord,4.0,294871.54,15683.55,0,0,1,0
